market,symbol,korean_name,english_name,sector,price_krw,change_24h_pct,trade_value_24h_krw,rsi14,obv20_norm,obv_divergence,adx14,plus_di,minus_di,ma20,ma60,ma120,trend,market_warning,candle_days
KRW-IOST,IOST,아이오에스티,IOST,기타/신규·세부검토,0.838,-1.41176471,1955530578.4813206,26.131970690221763,-0.8740432546134107,없음,37.55146685101973,25.985071657688188,21.731996662783306,0.8888999999999999,1.0241,1.2912166666666667,강한 추세·혼조,NONE,200
KRW-TT,TT,썬더코어,ThunderCore,기타/신규·세부검토,0.476,-2.0576131699999998,1820211097.5787652,13.749877570550566,-0.07638324269171066,없음,42.464615850512,10.744312483606205,27.49476646121581,0.7110000000000001,0.8848666666666667,1.0716916666666667,강한 하락,NONE,200
KRW-MOVE,MOVE,무브먼트,Movement,기타/신규·세부검토,9.86,1.336074,1757722102.1710775,20.158772377541467,-0.4564313475574261,없음,41.57952581817386,9.110483773063466,32.96117447113125,11.812999999999999,15.407666666666668,20.131333333333334,강한 하락,NONE,200
KRW-XEC,XEC,이캐시,eCash,기타/신규·세부검토,0.00959,0.62959077,1725982184.4070148,51.414430203981816,0.15558746038659965,강세 다이버전스,36.08426662966356,25.962036552719592,13.423693717674938,0.0095745,0.008920333333333334,0.009666166666666667,강한 상승,NONE,200
KRW-CARV,CARV,카브,CARV,게임/메타버스/NFT,43.9,-1.7897091699999998,1720455715.768912,50.221133878879016,0.4318723655255643,강세 다이버전스,18.557072512191024,29.465489995674496,15.748155422808194,41.739999999999995,50.13,65.295,중립/횡보,NONE,200
KRW-ARX,ARX,아르키움,Arcium,기타/신규·세부검토,184.0,2.79329609,1708835895.432799,31.354518113947208,0.03795818658767098,강세 다이버전스,19.98427560116716,14.542248131746868,25.72266128423895,219.4,,,중립/횡보,NONE,49
KRW-ALGO,ALGO,알고랜드,Algorand,스마트컨트랙트 L1,118.0,0.85470085,1685906746.1224954,43.585637450639965,-0.1435278425809235,없음,16.86565115594872,17.737607052328713,24.353030283067692,120.45,128.01666666666668,146.71666666666667,약한 하락,NONE,200
KRW-XPL,XPL,플라즈마,Plasma,기타/신규·세부검토,113.0,4.62962963,1670456897.5773249,45.810760554404354,0.14110260249751075,강세 다이버전스,20.294635076337162,15.592145670405504,17.733240643257382,113.35,131.71666666666667,135.94916666666666,약한 하락,NONE,200
KRW-SOON,SOON,쑨,SOON,기타/신규·세부검토,314.0,3.28947368,1664125079.279038,55.41430311545067,0.5007784042716081,없음,27.865207157812897,19.89037191824937,12.679504115840885,300.7,267.98333333333335,,강한 상승,NONE,116
KRW-CC,CC,캔톤,Canton,기타/신규·세부검토,138.0,-1.42857143,1660763920.2485952,27.05409056877626,-0.37938719839175195,없음,37.45542683207365,12.844034699857088,32.19703143837174,161.25,197.43333333333334,,강한 하락,NONE,118
KRW-UNI,UNI,유니스왑,Uniswap,DeFi/DEX,5625.0,0.26737968,1635810856.678106,52.59727333284971,0.07153116504662313,없음,24.494572922532303,22.259128016258956,16.30757099684237,5679.25,5072.55,4937.541666666667,중립/횡보,NONE,200
KRW-AXS,AXS,엑시인피니티,Axie Infinity,게임/메타버스/NFT,1300.0,2.92953286,1586776713.3659658,50.85457473446309,0.20796278361571516,강세 다이버전스,29.230070091141574,22.410942600993035,18.2535539615575,1246.25,1411.5833333333333,1599.5583333333334,강한 추세·혼조,NONE,200
KRW-ENSO,ENSO,엔소,Enso,기타/신규·세부검토,1408.0,3.3773862,1531811632.7229536,68.08691903866091,0.39165855491337004,없음,57.739897029046624,24.775752535904417,8.425958165464223,1268.4,1085.25,1148.6833333333334,강한 상승,NONE,200
KRW-ARB,ARB,아비트럼,Arbitrum,L2/확장성,112.0,2.75229358,1432519207.0602143,41.285309182657606,-0.08163253360656098,없음,23.138747199094997,13.953680227023526,23.124152609228908,115.8,121.98333333333333,146.30833333333334,약한 하락,NONE,200
KRW-BONK,BONK,봉크,Bonk,밈,0.00346,-0.85959885,1301665006.4803998,28.88247202314423,-0.1970311273860026,없음,17.470520879220107,25.80928147210149,16.588803774364635,0.0044755,0.005812833333333334,0.00734425,약한 하락,NONE,200
KRW-ERA,ERA,칼데라,Caldera,기타/신규·세부검토,95.7,-1.64439877,1299664659.6681054,41.79834864305422,0.13949830865290733,강세 다이버전스,23.523177900792692,25.990546041416604,15.540425409741335,106.05,119.96499999999999,156.7241666666667,약한 하락,NONE,200
KRW-TRX,TRX,트론,TRON,스마트컨트랙트 L1,466.0,0.43103448,1251270043.6412458,41.792471443991346,0.004656708871119696,강세 다이버전스,21.401294881656565,16.722627771115455,21.444080217337582,470.9,481.31666666666666,493.26666666666665,약한 하락,NONE,200
KRW-ETC,ETC,이더리움클래식,Ethereum Classic,비트코인/PoW,9165.0,1.3827433599999999,1239123635.7483678,34.95225484242194,-0.3472443312925148,없음,34.6818990138954,9.988760040792151,28.55732818178213,9541.75,10292.916666666666,11452.541666666666,강한 하락,NONE,200
KRW-MON,MON,모나드,Monad,기타/신규·세부검토,31.5,7.14285714,1237844520.05107,52.85334262492599,-0.13353132420639977,없음,15.59596810848213,20.855871776533508,12.090273073153275,30.360000000000003,31.5,36.693333333333335,중립/횡보,NONE,200
KRW-PLUME,PLUME,플룸,Plume,기타/신규·세부검토,16.9,1.19760479,1208114086.7338033,53.67978118126802,0.03295847327162782,없음,17.582373357237113,22.823178650184705,11.819680226156107,16.54,15.938333333333333,17.3125,약한 상승,NONE,200
KRW-USDC,USDC,유에스디코인,USD Coin,기타/신규·세부검토,1410.0,0.28449502,1170074633.0043426,29.961231837306585,-0.3282800468234334,없음,50.69822875847846,8.167307884307135,33.355223349681594,1434.65,1478.2,1481.925,강한 하락,NONE,200
KRW-IRYS,IRYS,아이리스,Irys,기타/신규·세부검토,21.9,0.4587156,1157233690.070337,52.28453467727224,0.48636506547081104,없음,31.544684986768193,21.18656487936604,13.202558195489058,20.925,22.026666666666664,,강한 추세·혼조,NONE,88
KRW-BIRB,BIRB,문버드,Moonbirds,기타/신규·세부검토,77.5,4.8714479,1146229576.2642157,47.66258835330369,0.34097956608354235,강세 다이버전스,30.447614184946683,32.6932922127387,15.075043335524436,76.44500000000001,92.07333333333332,137.82833333333335,강한 추세·혼조,NONE,189
KRW-TAO,TAO,비트텐서,Bittensor,AI,285900.0,0.70447341,1145615594.772756,49.91443299853541,-0.2520625407313193,없음,22.232162686121207,22.754056776859628,18.376813864154684,279285.0,309941.6666666667,348010.8333333333,중립/횡보,NONE,176
KRW-DATA,DATA,데이터네트워크,Data Network,기타/신규·세부검토,295.0,-0.33783784,1108039060.352961,18.454403841752864,-0.3877976467525125,없음,25.46981405479719,12.46796868901409,25.30668140039304,332.4,411.1333333333333,562.6916666666667,강한 하락,NONE,200
KRW-PIEVERSE,PIEVERSE,파이버스,Pieverse,기타/신규·세부검토,1101.0,-2.13333333,1084711723.7539406,56.7154093323797,0.4997387672283866,없음,43.36777301671987,32.58221989233183,9.670186150614146,1027.75,1026.4833333333333,,강한 상승,NONE,113
KRW-AVAX,AVAX,아발란체,Avalanche,스마트컨트랙트 L1,9215.0,2.21852468,1082856208.4903367,45.762285489984045,0.1111432314327,강세 다이버전스,20.050921422830474,18.200775358207835,23.13163320000435,9314.5,9680.25,11507.416666666666,약한 하락,NONE,200
KRW-AVNT,AVNT,아반티스,Avantis,기타/신규·세부검토,135.0,3.05343511,1015425137.5991646,58.83620893932823,0.07853004743918554,강세 다이버전스,23.088824056781156,21.930903527747184,15.889603693260947,123.9,140.28333333333333,174.7,중립/횡보,NONE,200
KRW-KERNEL,KERNEL,커널다오,KernelDAO,기타/신규·세부검토,51.8,1.56862745,1010255430.1269038,54.7917294763257,0.13596891492869376,없음,12.268868014636224,29.748784247880934,14.845924966130003,47.775,58.625,79.10249999999999,중립/횡보,NONE,200
KRW-DEEP,DEEP,딥북,DeepBook,기타/신규·세부검토,21.5,-1.37614679,996201619.2860055,39.84174578144215,0.009571574137978031,강세 다이버전스,22.002861697547473,22.226317754757307,17.79464060017441,23.375,25.016666666666666,34.31916666666667,약한 하락,NONE,200
KRW-BABY,BABY,바빌론,Babylon,기타/신규·세부검토,18.8,3.2967033,995675838.1562915,57.56852735347406,0.1365238157118087,없음,14.726071905359447,30.130357852617497,17.18774732375853,17.0,19.43166666666667,,중립/횡보,NONE,67
KRW-KMNO,KMNO,카미노파이낸스,Kamino Finance,기타/신규·세부검토,25.7,1.58102767,992402095.7403489,,,,,,,,,,중립/횡보,NONE,4
KRW-SKR,SKR,시커,Seeker,기타/신규·세부검토,11.0,-1.78571429,928623390.1124482,47.78161308920862,0.5396597369000063,강세 다이버전스,25.327560223539894,30.54417589149924,11.744601198771942,10.7715,12.357166666666666,17.16025,강한 추세·혼조,NONE,168
KRW-FF,FF,팔콘파이낸스,Falcon Finance,기타/신규·세부검토,89.2,0.45045045,893185553.3927876,44.74122275359013,0.224662153656672,없음,27.858183398343517,22.577962764070836,10.607582616108058,91.0,96.22833333333332,107.70916666666668,강한 추세·혼조,NONE,200
KRW-HBAR,HBAR,헤데라,Hedera,스마트컨트랙트 L1,96.2,-0.10384216,880995449.4902259,38.47996779975507,-0.36969049852509955,없음,15.055553147230095,16.607947012039098,22.408480482649537,99.71000000000001,106.55666666666666,119.40333333333334,약한 하락,NONE,200
KRW-OPEN,OPEN,오픈렛저,OpenLedger,기타/신규·세부검토,270.0,-6.896551720000001,878196961.941419,53.5033987508717,0.19264782893248328,없음,31.678112225920245,23.263978002904746,15.808748282243815,261.5,263.9166666666667,286.51666666666665,강한 상승,NONE,200
KRW-BCH,BCH,비트코인캐시,Bitcoin Cash,비트코인/PoW,302200.0,0.33200531,877121432.732041,40.15315518955114,-0.2338796286116364,없음,21.230419023037992,14.229562664599019,18.697896121026453,306005.0,318473.3333333333,442885.0,약한 하락,NONE,200
KRW-KITE,KITE,카이트,Kite,기타/신규·세부검토,147.0,5.75539568,835518135.4209968,45.849622630126426,-0.061895362036791246,없음,21.313948005421512,18.3887253879873,19.4840894443167,145.65,186.86666666666667,225.3,중립/횡보,NONE,200
KRW-STX,STX,스택스,Stacks,스마트컨트랙트 L1,186.0,1.6393442599999999,817294891.2943307,31.7724768341037,-0.5066398687047492,없음,52.20577188838472,6.317151903183893,27.28097909572273,200.55,240.18333333333334,291.475,강한 하락,NONE,200
KRW-RENDER,RENDER,렌더토큰,Render Token,인프라/오라클/데이터,1828.0,0,812424896.1356411,25.776105511837244,-0.5138923968426428,없음,44.90244693552648,6.52713588115796,32.08049776361926,1991.15,2255.016666666667,2515.641666666667,강한 하락,NONE,200
KRW-PEPE,PEPE,페페,Pepe,밈,0.00406,0.49504950000000003,800053399.1925701,50.29874936319588,0.13530790473260162,강세 다이버전스,15.62500482612324,22.367378678615275,15.496182807713149,0.0040535,0.004047833333333333,0.004742666666666667,약한 상승,NONE,200
KRW-AAVE,AAVE,에이브,Aave,DeFi/DEX,127900.0,0.39246467999999995,754159657.716688,43.30355632584499,-0.2377481023070001,없음,13.360803993221094,18.10551948996196,20.21332461568942,134475.0,130075.83333333333,130704.16666666667,중립/횡보,NONE,200
KRW-SEI,SEI,세이,Sei,스마트컨트랙트 L1,58.9,1.7271157200000002,753988446.0171404,32.807886209320515,-0.30980046723630866,없음,47.61883047000628,6.68520341600536,26.151316570116155,61.025,71.05,80.33333333333333,강한 하락,NONE,200
KRW-BSV,BSV,비트코인에스브이,Bitcoin SV,비트코인/PoW,20350.0,0.9424603199999999,730450255.866885,60.81669853188234,0.0022054371162372574,없음,30.243581663439176,38.527616429508605,12.627532917883295,18958.0,19172.0,20728.083333333332,강한 상승,NONE,200
